direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,backgroundDots.stopped,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,instruction_1.stopped,respSpeedInstr.keys,respSpeedInstr.rt,respSpeedInstr.duration,instruction_2.started,textAccuracyInstr.started,respAccuracyInstr.started,instruction_2.stopped,respAccuracyInstr.keys,respAccuracyInstr.rt,respAccuracyInstr.duration,goodbye.started,goodbye_text.started,goodbye_text.stopped,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
right,right,,,,,6,0,12,1,,,,,210.8474390830088,,,,,,,,,210.82603883297998,212.02275958299288,212.82384641599492,212.81505983299576,212.81508899998153,212.82384641599492,212.82384641599492,212.9050461250008,213.5696070829872,213.75547191599617,right,0.8451846249809023,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,,,,,6,1,13,0,,,,,213.76445220800815,,,,,,,,,213.75650266598677,214.5552295410016,215.34738412499428,215.3386790000077,215.33870633298648,215.34738412499428,215.34738412499428,215.4384161659982,216.09786729098414,216.30490533300326,left,0.863238582998747,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,,,,,7,0,14,0,,,,,216.3144691659836,,,,,,,,,216.30594591598492,216.6556862909929,217.4569185829896,217.44842349999817,217.44844483298948,217.4569185829896,217.4569185829896,217.5477127500053,218.20284187499783,218.51540991599904,right,0.9631780839990824,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,,,,,7,1,15,1,,,,,218.5243166660075,,,,,,,,,218.51643720798893,218.86458983298508,219.6573204160086,219.64842549999594,219.64845712500392,219.6573204160086,219.6573204160086,219.738715665997,220.40313191598398,220.64910033298656,right,0.9090586660022382,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,,,,,8,0,16,0,,,,,220.6573388329998,,,,,,,,,220.6501284999831,221.84800212498521,222.64018991598277,222.63146987499204,222.6314949579828,222.64018991598277,222.64018991598277,222.7219704159943,223.38681491598254,223.63918916598777,left,0.9158207079744898,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,,,,,8,1,17,1,,,,,223.64745429100003,,,,,,,,,223.64022070798092,223.73907974999747,224.54001745799906,224.5317070829915,224.53173183300532,224.54001745799906,224.54001745799906,224.6213605410012,225.28713300000527,225.44051741599105,left,0.8107957089960109,0.004500790993915871,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,,,,,9,0,18,0,,,,,225.4468444160011,,,,,,,,,225.4413985410065,226.2386667910032,227.0401055830007,227.03162199998042,227.03164558298886,227.0401055830007,227.0401055830007,227.13090716599254,227.78574358299375,228.08159216598142,right,0.9466397080104798,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,,,,,9,1,19,1,,,,,228.08981954099727,,,,,,,,,228.08262637499138,228.42171712499112,229.22335462499177,229.214933249983,229.21495674998732,229.22335462499177,229.22335462499177,229.30492970798514,229.97051124999416,230.12203454098199,left,0.8124211670074146,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,,,,,10,0,20,1,,,,,230.13073591599823,,,,,,,,,230.12308116600616,230.47212983298232,231.27420483299647,231.2651691659994,231.26519854099024,231.27420483299647,231.27420483299647,231.35582129098475,232.04721033299575,232.77471262498875,left,1.4101122920110356,0.007315958006074652,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,,,,,10,1,21,0,,,,,232.79730562499026,,,,,,,,,232.77582304098178,233.9723755409941,234.7736123749928,234.76491174998228,234.76493612499326,234.7736123749928,234.7736123749928,234.86354341599508,235.519880790991,235.6408525829902,left,0.7681599579809699,0.005505958019057289,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
